Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al P  
   -151.80942      0.21927      0.10616      0.11326
   -151.79942      0.15583      0.07387      0.08204
   -151.78942      0.08132      0.03627      0.04521
   -151.77942      0.06403      0.03663      0.02927
   -151.76942      0.12053      0.09510      0.03448
   -151.75942      0.24289      0.18021      0.07882
   -151.74942      0.27987      0.16421      0.12624
   -151.73942      0.19956      0.08511      0.11699
   -151.72942      0.13518      0.04329      0.09212
   -151.71942      0.09162      0.02995      0.06168
   -151.70942      0.08918      0.04720      0.04197
   -151.69942      0.14324      0.08608      0.05716
   -151.68942      0.16577      0.09795      0.06782
   -151.67942      0.13439      0.07133      0.06306
   -151.66942      0.13724      0.05403      0.08321
   -151.65942      0.25777      0.11412      0.14365
   -151.64942      0.49089      0.23900      0.25189
   -151.63942      0.62433      0.28150      0.34283
   -151.62942      0.45721      0.18652      0.27069
   -151.61942      0.26951      0.11828      0.15123
   -151.60942      0.22245      0.10738      0.11507
   -151.59942      0.18704      0.08534      0.10170
   -151.58942      0.11151      0.05112      0.06039
   -151.57942      0.05616      0.03008      0.02608
   -151.56942      0.09901      0.05403      0.04498
   -151.55942      0.21931      0.09748      0.12183
   -151.54942      0.36811      0.13314      0.23497
   -151.53942      0.46164      0.15978      0.30186
   -151.52942      0.38813      0.14836      0.23977
   -151.51942      0.28034      0.11906      0.16128
   -151.50942      0.26966      0.11085      0.15880
   -151.49942      0.30109      0.12114      0.17996
   -151.48942      0.34175      0.13042      0.21133
   -151.47942      0.32897      0.11670      0.21227
   -151.46942      0.17891      0.06243      0.11647
   -151.45942      0.07667      0.03154      0.04513
   -151.44942      0.10902      0.05325      0.05577
   -151.43942      0.22132      0.09555      0.12586
   -151.42942      0.34587      0.13983      0.20645
   -151.41942      0.40323      0.16165      0.24224
   -151.40942      0.33133      0.11966      0.21207
   -151.39942      0.26613      0.09037      0.17585
   -151.38942      0.22147      0.08328      0.13820
   -151.37942      0.12973      0.04879      0.08094
   -151.36942      0.04983      0.01651      0.03332
   -151.35942      0.02497      0.00584      0.01913
   -151.34942      0.04291      0.00958      0.03333
   -151.33942      0.09067      0.02659      0.06408
   -151.32942      0.17800      0.05666      0.12133
   -151.31942      0.25525      0.08177      0.17348
   -151.30942      0.30791      0.11926      0.18865
   -151.29942      0.37564      0.17235      0.20329
   -151.28942      0.36220      0.14813      0.21407
   -151.27942      0.37127      0.10385      0.26742
   -151.26942      0.43926      0.12036      0.31890
   -151.25942      0.39483      0.12955      0.26528
   -151.24942      0.35521      0.13797      0.21724
   -151.23942      0.40294      0.16811      0.23483
   -151.22942      0.31454      0.13116      0.18338
   -151.21942      0.14994      0.05988      0.09006
   -151.20942      0.07182      0.02540      0.04642
   -151.19942      0.08735      0.02595      0.06139
   -151.18942      0.20276      0.05768      0.14509
   -151.17942      0.28761      0.09492      0.19269
   -151.16942      0.26488      0.12513      0.13975
   -151.15942      0.25647      0.15534      0.10113
   -151.14942      0.23245      0.15274      0.07971
   -151.13942      0.15624      0.10409      0.05215
   -151.12942      0.16204      0.08445      0.07759
   -151.11942      0.20964      0.09833      0.11131
   -151.10942      0.18005      0.09188      0.08817
   -151.09942      0.17906      0.10518      0.07388
   -151.08942      0.15807      0.09823      0.05984
   -151.07942      0.09201      0.05767      0.03435
   -151.06942      0.13078      0.07180      0.05898
   -151.05942      0.34644      0.17791      0.16853
   -151.04942      0.52824      0.25521      0.27303
   -151.03942      0.46111      0.19637      0.26490
   -151.02942      0.36998      0.13308      0.23885
   -151.01942      0.33506      0.15426      0.18948
   -151.00942      0.29373      0.18851      0.11946
   -150.99942      0.26164      0.15289      0.11735
   -150.98942      0.30901      0.13813      0.17279
   -150.97942      0.44919      0.19612      0.25322
   -150.96942      0.58585      0.25317      0.33269
   -150.95942      0.52701      0.22017      0.30684
   -150.94942      0.32056      0.13131      0.18925
   -150.93942      0.19838      0.08644      0.11194
   -150.92942      0.19762      0.09886      0.09876
   -150.91942      0.29840      0.15055      0.14785
   -150.90942      0.35537      0.15680      0.19857
   -150.89942      0.32057      0.13047      0.19010
   -150.88942      0.28896      0.12880      0.16016
   -150.87942      0.23173      0.11872      0.11301
   -150.86942      0.17683      0.11385      0.06298
   -150.85942      0.17073      0.11564      0.05509
   -150.84942      0.21717      0.12750      0.08966
   -150.83942      0.29484      0.14151      0.15334
   -150.82942      0.38065      0.16752      0.21313
   -150.81942      0.39253      0.17998      0.21255
   -150.80942      0.26150      0.12117      0.14033
   -150.79942      0.16755      0.06862      0.09893
   -150.78942      0.18863      0.06255      0.12635
   -150.77942      0.22584      0.09575      0.13231
   -150.76942      0.28510      0.16424      0.12746
   -150.75942      0.34113      0.17750      0.17085
   -150.74942      0.27939      0.11608      0.16623
   -150.73942      0.18213      0.07887      0.10369
   -150.72942      0.20056      0.09075      0.10985
   -150.71942      0.32298      0.13968      0.18341
   -150.70942      0.44842      0.21202      0.23703
   -150.69942      0.57665      0.28766      0.29031
   -150.68942      0.53293      0.25983      0.27411
   -150.67942      0.26655      0.12525      0.14158
   -150.66942      0.08181      0.03954      0.04230
   -150.65942      0.06906      0.04474      0.02433
   -150.64942      0.11436      0.08045      0.03391
   -150.63942      0.13563      0.08581      0.04982
   -150.62942      0.14158      0.06759      0.07399
   -150.61942      0.20200      0.07134      0.13066
   -150.60942      0.25991      0.08945      0.17046
   -150.59942      0.29432      0.11705      0.17727
   -150.58942      0.28040      0.12603      0.15437
   -150.57942      0.18849      0.09092      0.09757
   -150.56942      0.12186      0.05413      0.06773
   -150.55942      0.16928      0.05617      0.11311
   -150.54942      0.28888      0.09257      0.19631
   -150.53942      0.26789      0.09213      0.17582
   -150.52942      0.12108      0.04254      0.07947
   -150.51942      0.06126      0.01037      0.05634
   -150.50942      0.10979      0.01263      0.10887
   -150.49942      0.15434      0.03073      0.13285
   -150.48942      0.18591      0.06435      0.12428
   -150.47942      0.24900      0.11738      0.13243
   -150.46942      0.22756      0.11843      0.11195
   -150.45942      0.19010      0.09698      0.09856
   -150.44942      0.32747      0.13641      0.19493
   -150.43942      0.46683      0.18093      0.28692
   -150.42942      0.43174      0.16260      0.26924
   -150.41942      0.29070      0.09551      0.19520
   -150.40942      0.18635      0.05350      0.13286
   -150.39942      0.18806      0.07198      0.11612
   -150.38942      0.32150      0.14031      0.18140
   -150.37942      0.44435      0.18071      0.26420
   -150.36942      0.38214      0.14062      0.24244
   -150.35942      0.27288      0.10111      0.17257
   -150.34942      0.24985      0.10215      0.14799
   -150.33942      0.22417      0.09136      0.13285
   -150.32942      0.18054      0.06967      0.11088
   -150.31942      0.13025      0.04660      0.08366
   -150.30942      0.11164      0.04563      0.06612
   -150.29942      0.15242      0.06456      0.08866
   -150.28942      0.21100      0.07590      0.13709
   -150.27942      0.22646      0.08545      0.14283
   -150.26942      0.23922      0.12088      0.11895
   -150.25942      0.29475      0.17558      0.11925
   -150.24942      0.29916      0.17825      0.12091
   -150.23942      0.35831      0.19004      0.16827
   -150.22942      0.50700      0.24832      0.25868
   -150.21942      0.55054      0.27892      0.27166
   -150.20942      0.44645      0.23784      0.20904
   -150.19942      0.30722      0.14527      0.16353
   -150.18942      0.19716      0.06924      0.13004
   -150.17942      0.09894      0.03350      0.06649
   -150.16942      0.07895      0.03772      0.04142
   -150.15942      0.16051      0.07759      0.08293
   -150.14942      0.23839      0.10226      0.13614
   -150.13942      0.33167      0.13812      0.19356
   -150.12942      0.46082      0.22567      0.23515
   -150.11942      0.47840      0.27305      0.20535
   -150.10942      0.35932      0.22129      0.13803
   -150.09942      0.23458      0.14286      0.09172
   -150.08942      0.24733      0.13659      0.11073
   -150.07942      0.31031      0.15395      0.15636
   -150.06942      0.25487      0.12029      0.13458
   -150.05942      0.17493      0.09041      0.08452
   -150.04942      0.18742      0.10566      0.08177
   -150.03942      0.31423      0.16222      0.15226
   -150.02942      0.39952      0.17918      0.22170
   -150.01942      0.31427      0.12494      0.19203
   -150.00942      0.19046      0.06480      0.12763
   -149.99942      0.13889      0.04362      0.09580
   -149.98942      0.13211      0.05266      0.07950
   -149.97942      0.11660      0.05840      0.05820
   -149.96942      0.14055      0.08440      0.05615
   -149.95942      0.27407      0.15143      0.12265
   -149.94942      0.43646      0.20031      0.23638
   -149.93942      0.47657      0.18729      0.29072
   -149.92942      0.42517      0.16315      0.26536
   -149.91942      0.43109      0.18781      0.24614
   -149.90942      0.41604      0.19937      0.21757
   -149.89942      0.31942      0.15286      0.16666
   -149.88942      0.33138      0.14435      0.18703
   -149.87942      0.38563      0.15573      0.22991
   -149.86942      0.31551      0.12693      0.18869
   -149.85942      0.23677      0.09914      0.13879
   -149.84942      0.32248      0.13917      0.18791
   -149.83942      0.41937      0.16140      0.26475
   -149.82942      0.44455      0.13580      0.31290
   -149.81942      0.45768      0.15017      0.30941
   -149.80942      0.38320      0.14552      0.23859
   -149.79942      0.30111      0.11362      0.18772
   -149.78942      0.29090      0.10314      0.18779
   -149.77942      0.33704      0.11035      0.22670
   -149.76942      0.40353      0.13599      0.26784
   -149.75942      0.47159      0.19118      0.28238
   -149.74942      0.44448      0.22741      0.22178
   -149.73942      0.34524      0.18918      0.16020
   -149.72942      0.31859      0.13748      0.18244
   -149.71942      0.32494      0.13122      0.19398
   -149.70942      0.25048      0.11319      0.13809
   -149.69942      0.18632      0.09068      0.09831
   -149.68942      0.19684      0.07835      0.12290
   -149.67942      0.24002      0.06631      0.17895
   -149.66942      0.33616      0.09568      0.24444
   -149.65942      0.43158      0.13248      0.30040
   -149.64942      0.43367      0.12768      0.30615
   -149.63942      0.32459      0.09517      0.22943
   -149.62942      0.29188      0.09061      0.20127
   -149.61942      0.32815      0.10385      0.22430
   -149.60942      0.29129      0.08985      0.20144
   -149.59942      0.17909      0.05323      0.12586
   -149.58942      0.09689      0.03671      0.06018
   -149.57942      0.17113      0.08608      0.08504
   -149.56942      0.29096      0.13814      0.15282
   -149.55942      0.25444      0.10581      0.14862
   -149.54942      0.15633      0.05633      0.10000
   -149.53942      0.11530      0.05218      0.06312
   -149.52942      0.15136      0.08418      0.06717
   -149.51942      0.18360      0.09149      0.09211
   -149.50942      0.19002      0.08775      0.10227
   -149.49942      0.19982      0.09650      0.10332
   -149.48942      0.14876      0.07034      0.07843
   -149.47942      0.12582      0.04936      0.07659
   -149.46942      0.18861      0.07793      0.11194
   -149.45942      0.22297      0.11929      0.10878
   -149.44942      0.20353      0.13892      0.07310
   -149.43942      0.18858      0.13508      0.06091
   -149.42942      0.20744      0.12609      0.08631
   -149.41942      0.18381      0.09419      0.09178
   -149.40942      0.15737      0.07271      0.08507
   -149.39942      0.18750      0.07215      0.11538
   -149.38942      0.23708      0.08436      0.15272
   -149.37942      0.26881      0.10873      0.16007
   -149.36942      0.19965      0.09105      0.10860
   -149.35942      0.08321      0.03982      0.04339
   -149.34942      0.06217      0.02791      0.03425
   -149.33942      0.13395      0.06243      0.07153
   -149.32942      0.23144      0.11226      0.11918
   -149.31942      0.25676      0.11790      0.13886
   -149.30942      0.19924      0.07673      0.12251
   -149.29942      0.14161      0.04789      0.09372
   -149.28942      0.14281      0.05498      0.08782
   -149.27942      0.16043      0.06780      0.09264
   -149.26942      0.16270      0.06690      0.09580
   -149.25942      0.23653      0.09161      0.14492
   -149.24942      0.34434      0.14847      0.19587
   -149.23942      0.39557      0.17698      0.21859
   -149.22942      0.35345      0.14208      0.21137
   -149.21942      0.29828      0.11898      0.17930
   -149.20942      0.34590      0.16000      0.18590
   -149.19942      0.47057      0.22667      0.24390
   -149.18942      0.53186      0.24429      0.28758
   -149.17942      0.42731      0.18781      0.23951
   -149.16942      0.34349      0.15309      0.19040
   -149.15942      0.42692      0.19860      0.22832
   -149.14942      0.51463      0.24766      0.26710
   -149.13942      0.51503      0.25446      0.26223
   -149.12942      0.49379      0.24425      0.25760
   -149.11942      0.49160      0.24824      0.25775
