Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
     -0.16000      0.29959      0.07258      0.22701
     -0.15000      0.33949      0.08108      0.25841
     -0.14000      0.54076      0.13044      0.41032
     -0.13000      0.59458      0.14552      0.44906
     -0.12000      0.45009      0.11196      0.33812
     -0.11000      0.32895      0.08219      0.24676
     -0.10000      0.25971      0.06269      0.19702
     -0.09000      0.24092      0.05583      0.18509
     -0.08000      0.25364      0.05825      0.19539
     -0.07000      0.25593      0.05884      0.19710
     -0.06000      0.22777      0.05415      0.17362
     -0.05000      0.19163      0.05001      0.14162
     -0.04000      0.18501      0.04987      0.13513
     -0.03000      0.16161      0.04123      0.12039
     -0.02000      0.13283      0.03191      0.10092
     -0.01000      0.06755      0.01581      0.05174
      0.00000      0.01460      0.00337      0.01123
      0.01000      0.00122      0.00028      0.00094
      0.02000      0.00004      0.00001      0.00003
      0.03000      0.00000      0.00000      0.00000
      0.04000      0.00000      0.00000      0.00000
      0.05000      0.00000      0.00000      0.00000
      0.06000      0.00000      0.00000      0.00000
      0.07000      0.00000      0.00000      0.00000
      0.08000      0.00000      0.00000      0.00000
      0.09000      0.00000      0.00000      0.00000
      0.10000      0.00000      0.00000      0.00000
      0.11000      0.00000      0.00000      0.00000
      0.12000      0.00000      0.00000      0.00000
      0.13000      0.00000      0.00000      0.00000
      0.14000      0.00000      0.00000      0.00000
      0.15000      0.00000      0.00000      0.00000
      0.16000      0.00000      0.00000      0.00000
      0.17000      0.00000      0.00000      0.00000
      0.18000      0.00000      0.00000      0.00000
      0.19000      0.00000      0.00000      0.00000
      0.20000      0.00000      0.00000      0.00000
      0.21000      0.00000      0.00000      0.00000
      0.22000      0.00000      0.00000      0.00000
      0.23000      0.00001      0.00000      0.00000
      0.24000      0.00027      0.00018      0.00009
      0.25000      0.00478      0.00317      0.00160
      0.26000      0.03077      0.02044      0.01033
      0.27000      0.07295      0.04847      0.02448
      0.28000      0.06362      0.04227      0.02135
      0.29000      0.02041      0.01356      0.00685
      0.30000      0.00254      0.00169      0.00085
      0.31000      0.00301      0.00201      0.00100
      0.32000      0.02288      0.01529      0.00760
      0.33000      0.06641      0.04436      0.02204
      0.34000      0.07090      0.04737      0.02353
      0.35000      0.02785      0.01860      0.00924
      0.36000      0.00402      0.00269      0.00134
      0.37000      0.00022      0.00014      0.00007
      0.38000      0.00009      0.00006      0.00003
      0.39000      0.00213      0.00140      0.00072
      0.40000      0.01889      0.01246      0.00643
      0.41000      0.06174      0.04071      0.02103
      0.42000      0.07559      0.04983      0.02576
      0.43000      0.04919      0.03231      0.01687
      0.44000      0.07852      0.05149      0.02704
      0.45000      0.14212      0.09388      0.04824
      0.46000      0.14400      0.09585      0.04815
